total_income_lower_bound,total_income_upper_bound,self_employment_income_count,self_employment_income_amount,employment_income_count,employment_income_amount,state_pension_count,state_pension_amount,private_pension_income_count,private_pension_income_amount,property_income_count,property_income_amount,savings_interest_income_count,savings_interest_income_amount,dividend_income_count,dividend_income_amount,total_income_lower_bound,total_income_upper_bound
12570,15000.0,401000.0,4150000000.0,1530000.0,19000000000.0,1120000.0,10300000000.0,1220000.0,5870000000.0,116000.0,747000000.0,881000.0,63000000.0,84000.0,97000000.0,12570,15000.0
15000,20000.0,670000.0,8110000000.0,3860000.0,61900000000.0,1850000.0,17500000000.0,2060000.0,15400000000.0,251000.0,1750000000.0,1900000.0,247000000.0,390000.0,1070000000.0,15000,20000.0
20000,30000.0,958000.0,15700000000.0,7300000.0,166000000000.0,1920000.0,17900000000.0,2320000.0,28900000000.0,446000.0,3770000000.0,2990000.0,463000000.0,811000.0,3730000000.0,20000,30000.0
30000,40000.0,568000.0,12300000000.0,4560000.0,144000000000.0,819000.0,7600000000.0,1100000.0,19500000000.0,354000.0,3510000000.0,1910000.0,340000000.0,636000.0,4960000000.0,30000,40000.0
40000,50000.0,336000.0,8650000000.0,2880000.0,112000000000.0,388000.0,3600000000.0,574000.0,12600000000.0,310000.0,3410000000.0,1240000.0,257000000.0,589000.0,9020000000.0,40000,50000.0
50000,70000.0,266000.0,7860000000.0,2520000.0,127000000000.0,280000.0,2590000000.0,440000.0,11900000000.0,335000.0,4380000000.0,1080000.0,273000000.0,543000.0,11000000000.0,50000,70000.0
70000,100000.0,126000.0,5220000000.0,1220000.0,87000000000.0,118000.0,1130000000.0,186000.0,6810000000.0,194000.0,3090000000.0,559000.0,191000000.0,300000.0,8500000000.0,70000,100000.0
100000,150000.0,79000.0,4940000000.0,598000.0,61600000000.0,49000.0,487000000.0,75000.0,3720000000.0,117000.0,2020000000.0,236000.0,154000000.0,198000.0,6090000000.0,100000,150000.0
150000,200000.0,38000.0,3830000000.0,206000.0,30000000000.0,14000.0,156000000.0,23000.0,1420000000.0,45000.0,889000000.0,90000.0,76000000.0,80000.0,3150000000.0,150000,200000.0
200000,300000.0,31000.0,4590000000.0,142000.0,28800000000.0,11000.0,191000000.0,16000.0,1140000000.0,34000.0,853000000.0,72000.0,85000000.0,63000.0,3330000000.0,200000,300000.0
300000,500000.0,19000.0,4720000000.0,77000.0,23700000000.0,6000.0,164000000.0,8000.0,840000000.0,20000.0,604000000.0,45000.0,74000000.0,42000.0,3300000000.0,300000,500000.0
500000,1000000.0,14000.0,6380000000.0,39000.0,20500000000.0,3000.0,89000000.0,4000.0,455000000.0,11000.0,423000000.0,27000.0,91000000.0,27000.0,3740000000.0,500000,1000000.0
1000000,inf,10000.0,20200000000.0,20000.0,36700000000.0,1000.0,13000000.0,2000.0,256000000.0,7000.0,380000000.0,16000.0,204000000.0,18000.0,13600000000.0,1000000,inf
12570,inf,3520000.0,107000000000.0,25000000.0,918000000000.0,6580000.0,61700000000.0,8030000.0,109000000000.0,2240000.0,25800000000.0,11100000.0,2520000000.0,3780000.0,71600000000.0,12570,inf
